수능(정시 가군)실기우수자
북한이탈주민 전형
학생부종합(취업자전형)
학생부종합(장애인대상자전형)
수능(국방시스템공학 특별전형)
수능위주(지역기회균형전형)
수능(농어촌 학생)
학생부교과(가군(특성화고등을졸업한재직자(정원외)))
학생부교과(학생부우수자-지역인재전형)
학생부종합(농어촌학생 특별전형)
수능[정시(가군-실기위주전형)]
수능위주전형(정시모집 일반전형)
실기(음악실기우수자)
학생부교과(특수교육대상자특별전형)
실기/실적(예체능특기자 전형(영화예술-연출제작))
학생부교과(농어촌(교과))
학생부종합(글로컬지역인재)
학생부종합(사회공헌·통합전형)
학생부교과(지역균형전형)
기타(북한이탈주민(정원외)전형)
수능(기독교전형)
학생부종합(성인학습자(정원내)전형)
실기(일반전형)
학생부교과(지역인재기회균형 특별전형)
기타(북한이탈주민-실기)
기타(성인학습자전형)
수능(정시기회균형-특성화고교졸업자전형)
학생부교과[사회통합전형]
실기/실적(경기입상실적우수자전형)
실기/실적(체육특기자전형-개인)
학생부교과(기회균등제전형)
실기/실적(국제학특기자전형)
실기/실적(외국어특기자전형)
기타(전교육과정이수자(3월)-재외국민전형)
재외국민 특별전형
실기/실적(기초생활수급자및차상위계층)
실기/실적(실적우수자)
실기/실적(미술우수자전형)
실기/실적(특기자전형 무용)
학생부교과(한림케어전형2)
중고교과정 해외이수자(정원외2%)
초·중·고교전교육과정해외이수자(9월)
수능(지역인재)
기타(재외국민과외국인(2%이내)전형)
"학생부교과(기초생활수급자 및 차상위계층, 한부모가족지원대상자전형)"
학생부교과(특성화고동일계전형)
학생부교과(기초생활수급자 및 차상위계층 특별전형)
실기/실적(실기우수자전형_미술)
기타: 군위탁학생 전형
재외국민 및 외국인 특별전형(전 교육과정 이수 외국인)
수능(실기전형(다군))
학생부종합(특성화고졸재직자전형)
실기/실적위주(어학특기자(정원내)전형)
실기/실적(실기우수자전형)
학생부교과(정원외) 학생부우수자-교육기회
기타(재외국민특별)
실기/실적(디자인특기자전형)
학생부교과(지역학생전형)
학생부교과((농어촌학생(정원내))
학생부교과(군사학과(정원내)전형)
실기/실적(음악특기자)
학생부교과(성인학습자-수시)
학생부교과(지역인재전형_기초생활수급자 및 차상위계층)
학생부종합(특수교육대상)
수능(실기우수자전형)
실기/실적(일반)
초·중·고교 전 교육과정 해외 이수자 전형(3월 2차)
수능(농어촌학생)-나군
학생부교과(이웃사랑전형)
학생부종합(CAU탐구형인재전형)
전 교육과정 이수자
수능(다자녀가정)
학생부교과(기초생활수급권자 및 차상위계층전형)
수능(나군(기초생활수급자및차상위계층))
재외국민과 외국인(전 교육과정 이수자)
수능위주(일반전형Ⅰ)
학생부종합(드림(PUTS인재))
수능(기초생활수급자 및 차상위계층전형)
실기/실적(기능특기자전형)
학생부종합(대안학교전형)
재외국민과 외국인 특별전형(2% 이내)
학생부종합(특성화고졸재직자-정원외)
학생부교과(특성화고교인재)
실기/실적(실기(연극학부-실기형))
학생부교과(면접중심)
학생부종합(세움인재)
학생부종합(면접형전형)
학생부교과(농어촌전형)
학생부종합(사회적배려대상자Ⅱ)
수능(일반전형(예체능계열1))
학생부교과(특성화등 고졸 재직자)
학생부교과(담임추천전형)
수능(수능전형(나군))
학생부종합(신학특별)
실기/실적(조형예술-자유소묘)
기타(북한이탈학생전형)
학생부종합(동덕창의리더전형)
실기/실적[농어촌 학생(디자인학부)]
학생부종합(다문화가족자녀전형)
학생부종합(장애인등 대상자)
재외국민특별전형(재외국민)
[학생부교과]취업자전형
학생부교과(기회균등전형)
학생부교과(수시 일반전형Ⅰ)
학생부교과(다자녀가정)
실기위주(기독교인전형)
학생부교과(교과성적우수자(정원내)전형)
학생부종합(정부위탁전형)
학생부위주(농어촌전형)
외국인
재외국민 외국인(초·중·고 전 교육과정 해외이수자)
수능(농어촌학생특별전형)
학생부교과(지역인재전형 2유형)
수능(농어촌(도서·벽지)학생전형)
수능(일반)
학생부종합(참인재)
학생부종합(한림SW인재전형)
12년 전 교육과정 이수자
실기/실적(특수교육대상자특별전형)
수능(특성화고인재특별전형)
"학생부교과(추천자전형(담임교역자,교목,교사)"
학생부교과(체육특기자 태권도)
학생부교과(재직자특별전형-면접)
학생부위주(교과)-기회균형Ⅱ전형
학생부종합(창업인재)
기타(12년 과정 이수자)
실기/실적위주-실기우수자전형
재외국민전형(12년과정)
실기/실적(특기자전형[국제인재])
학생부교과(지역인재전형 1유형)
실기(정시 일반전형-예체능계/실기)
수능(일반(비실기))
수능(기초생활수급자(정원외))
학생부종합(특성화고졸재직자-정원내)
재외국민과외국인(2%이내)전형
수능(일반학생)
수능-일반전형(계약학과)
실기/실적(가톨릭지도자추천)
수능(KU일반학생)-다군
학생부교과(지역인재)(기초)
중고교과정해외이수자
학생부교과(한서인재전형)
전 교육과정 이수자 전형(9월 입학)
학생부종합(숙명디지털융합인재전형)
수능(기초생활수급자등선발전형)
실기실적(체육특기자)
기타(외국인군(전 교육과정 이수자)전형)
전교육과정 이수자
학생부종합(후계농업경영인전형)
실기/실적(실기(연극학부-특기형))
학생부교과(창의면접전형)
학생부종합(Cogito자기추천)
수능(장애인등 대상자)
수능(서해5도학생특별전형)
학생부종합(아리학생부종합Ⅰ)
수능(기초생활 및 차상위전형)
재외국민외국인(12년과정이수자)
학생부종합(기초생활수급자 및 차상위계층)
학생부종합(학생부종합전형(일반))
전기 글로벌인재특별전형Ⅱ_전교육과정해외이수자
학생부교과(기초생활 및 차상위전형)
학생부교과(만학도전형)
학생부종합(저소득)
수능위주(특수교육대상자전형)
수능(사회적배려자전형)
학생부종합(덕성인재전형Ⅰ)
재외국민 및 외국인 특별전형
수능(장애인등대상자)
수능(실기우수자(정원내)전형)
수능(다군 농어촌학생전형)
학생부종합(SW창의인재전형)
수능(일반전형[국제계열])
수능위주(기회균형특별전형)
학생부종합(교직적성우수자)
수능(농어촌 및 도서벽지지역학생)
수능위주(저소득층학생전형)
학생부종합(농어촌학생 전형)
학생부종합(창의융합인재전형)
학생부교과(농어촌학생(정원외))
논술(AAT전형)
전교육과정 이수 재외국민과 외국인
학생부종합(특성화고 등을 졸업한 재직자(정원외)전형)
학생부종합(특성화고교출신자(동일계)전형)
학생부교과(특성화고교졸업자전형)
실기/실적(체육특기자 육상)
학생부교과(지역의료인재)
수능(기회균형전형_특성화고교졸업자)(정원외)
학생부위주(교과)-교과전형
수능(지역저소득층전형)
학생부종합(국방정보공학)
학생부교과(사회배려자및봉사자전형)
학생부종합(사회통합(국가보훈·농어촌·만학도))
학생부종합(기회균형전형Ⅰ_장애인 등 대상자)
학생부교과(농어촌 학생)
학생부종합(SW특별전형)
수능(장애인대상자)
수능(KU일반학생)-나군
전 교육과정 해외이수자 특별전형(전기)
12년 과정 이수자(3월)-재외국민
수능(장애인 등 대상자 특별전형)
학생부종합(사회통합전형)
학생부종합(조기취업형계약학과전형)
학생부교과(사회배려대상자전형)
수능(나군(일반))
학생부종합(학생부종합 서류형)
재외국민과 외국인전형
학생부종합(가군 특성화고 등을 졸업한 재직자(정원외)전형)
"학생부교과(기초생활수급자, 차상위계층, 한부모가족전형)"
[학생부종합]잠재능력우수자전형
수능(체육전형(정시가군))
학생부교과(교구장(수도회장상)추천전형)
학생부교과(국가보훈대상자전형)
실기/실적(글로벌스포츠인재전형)
실기/실적(체육특기자전형)
학생부종합(일반전형II)
학생부교과(수급자/차상위계층/한부모가정)
학생부교과(기초생활수급자 및 차상위계층전형(정원외))
학생부종합(장애인 등 대상자)
학생부종합(특성화고등을졸업한재직자전형)
학생부종합(특성화고 등을 졸업한 재직자)
외국의 전교육과정이수자
수능(농어산촌인재특별전형)
실기/실적(미술·조형특기자전형)
실기/실적(기독인재양성 특별전형)
수능(정시 나군)특성화고교인재
학생부교과(교육기회균등전형-수시)
학생부종합(대안학교출신자)
교과우수(수능 최저학력기준 적용)
학생부종합(일반학생전형)
수능위주-수능전형
학생부종합(Do Dream)
학생부교과(장애인등대상자)
기타(재외국민외국인전형)
"학생부교과(기초생활수급자,차상위계층,한부모가족지원대상자)"
수능(장애인 등 대상자)
학생부교과위주장애인등대상자전형)
학생부종합(창의인재전형)
수능(기회균형전형II-기초생활수급자 및 차상위계층 특별전형)
학생부종합(서해5도지역출신자)
학생부종합(고교생활우수자전형 유형Ⅰ)
수능위주-(농어촌학생 특별전형)
학생부종합-학업우수전형
학생부교과(온라인성인학습자전형)
학생부종합(한남인재전형)
학생부교과(농어촌학생 특별전형)
실기/실적(KU체육특기자)
실기/실적(실기(국어국문문예창작학부))
수능(가군 일반학생전형)
실기/실적(예능창의인재(미술)전형)
실기/실적(예체능특기자 전형(영화예술-연기예술))
학생부교과(기초생활수급자등선발전형)
"학생부종합(기회균형-농어촌학생전형,정원외)"
학생부종합(기회균형전형)
학생부종합(사회적배려대상자Ⅲ)
학생부교과(특성화고교출신자)
수능(특성화고졸업(예정)자전형)
학생부교과(특성화고등을졸업한재직자(면접형))
수능위주(사회배려대상자전형)
실기위주전형(수시모집 일반전형)
실기/실적(실기위주전형)
재외국민과 외국인 특별전형(정원외)
학생부교과(지역인재-기초생활 및 차상위)
학생부종합(지역인재선발)
수능[정시(가군-수능위주전형)]
논술(지역인재전형)
학생부교과(고른기회전형)
실기/실적(실기(체육교육과))
학생부종합(서해 5도 특별전형)
실기/실적(특기자전형)
재외국민(북한이탈주민)
재외국민전형(북한이탈주민)
학생부종합(기초생활수급자 등 전형)
학생부종합(고교학생부전형)
수능위주(농어촌학생전형)
"학생부교과(사회적배려대상자(특수교육대상자,백혈병,다문화가정,도서벽지근무자))"
수능(일반전형2)
학생부종합(불교추천인재)
학생부종합(S/W인재)
전교육과정국외이수자
수능(고른기회전형)
실기/실적(특기형전형)
학생부교과(기초생활수급자및차상위계층자(정원내))
학생부종합(국가보훈대상자 전형)
실기/실적[실기우수자전형(미술-한국화·회화·조소)]
학생부교과(유원교과전형)
수능(수능일반전형1)
전 교육과정 이수자(9월)
학생부종합(고른기회)
지역인재수급자
학생부종합(출가자전형)
학생부종합(장애인 등 대상자전형)
후기 글로벌인재특별전형Ⅱ_전교육과정해외이수자
학생부교과(교과성적전형)
학생부종합(다문화가정의자녀)
학생부교과(만학도)
수능(일반학생전형[수능])
학생부교과(교사추천자)
수능(일반전형(예체능계열2))
학생부교과(일반계고전형)
학생부종합[기회균형전형-특성화고 등을 졸업한 재직자(정원내)]
학생부종합-재직자전형
학생부종합(기회균형전형(농어촌학생))
학생부교과(미래인재)
학생부종합(미래인재전형Ⅰ)
수능(나군 특성화고교 졸업자)
