북한이탈주민 전형
8호
연극·뮤지컬 연기
특성화고교 졸업자
고른기회전형Ⅱ
체육교육과전형
실용음악
전교육과정해외이수자/9월
스포츠문화학과
전기
가군 농어촌학생전형
조기취업형계약학과전형
사범계전형
정부위탁전형
광운참빛인재전형Ⅰ
지역인재교과
학교생활우수자 전형
재외국민군전형
잠재능력우수자서류전형
농어촌 및 도서벽지지역학생
음악실기전형
학생부성적우수자
국방정보공학
가군 기회균등전형
외국어
일반전형2
아치해양인재전형Ⅰ
총신고른기회
기회균형전형Ⅰ
숙명인재
백석인재
재외국민 특별전형
SW인재
서해5도출신자전형
다군 기회균등전형
"성요셉전형:성직지망자,수도회허원자"
성직자·수도자추천전형
군사학과전형
학생부종합Ⅱ전형
학생부우수자
DKU인재
기타: 군위탁학생 전형
일반학생전형
예술체육실기 일반전형
수능위주특성화고교졸업자전형
지역교과
일반
대안학교출신자
수능 다군 특성화고전형
교구장
다문화가정의자녀
나군 일반전형
정시이월
전 교육과정 이수자
"기초생활,차상위,한부모전형"
교과성적우수자 전형
기회균형1
가군 일반학생전형
지역인재특별전형
"국가보훈대상자, 농어촌학생, 기초생활수급자"
항공관광학과 제외
예체능
특성화고동일계열특별전형
기회균등특별전형
사회적배려대상자전형Ⅱ
학생부종합특성화고교졸업자전형
고교추천전형
정시 지역인재2
학생부교과기회균형전형Ⅰ
만학도전형2
지역인재선발
사회배려대상자전형
담임목회자추천전형
교과우수자 전형
과학특기자전형
학생부종합우수자 일반전형
교육기회균형전형
외국인
면접중심
사회배려자및봉사자전형
배양영재전형
12년 전 교육과정 이수자
학생부100%전형
연기
지역인재Ⅰ전형
정시 가군
연극
특성화고교 교과성적
수능전형
스포츠과학부
일반 전형
가군 농어촌학생
조기취업형계약학과
기회균형선발 전형
중고교과정해외이수자
창의융합인재
지역인재2
다자녀가정
입학정원 2%이내 2
창의융합인재전형
교육기회균형
재외국민전교육과정이수자
전교육과정 이수자
만학도전형1
한의대A
CAU탐구형인재전형
기초생활수급권자 및 차상위계층
메타버스전형
